"","LMA_g_m2.12.comps"
"Wave_1334",20.2948174584122
"Wave_1335",20.4055901522494
"Wave_1336",20.5571314013821
"Wave_1337",20.7086720699809
"Wave_1338",20.8602130784189
"Wave_1339",21.1308661083344
"Wave_1340",21.4147531280937
"Wave_1341",21.6986413764207
"Wave_1342",22.0109292143232
"Wave_1343",22.4368197103923
"Wave_1344",22.8627092396698
"Wave_1345",23.2885994920295
"Wave_1346",23.6095873972934
"Wave_1347",23.7732232839179
"Wave_1348",23.9368589292788
"Wave_1349",24.1004949959721
"Wave_1350",24.232700253279
"Wave_1351",24.3514346923021
"Wave_1352",24.4701695686818
"Wave_1353",24.5889049796261
"Wave_1354",24.3211196710616
"Wave_1355",24.0533348260268
"Wave_1356",23.7855496223551
"Wave_1357",23.5193640772286
"Wave_1358",23.259577394815
"Wave_1359",22.9997902660357
"Wave_1360",22.7400042623912
"Wave_1361",22.456485952419
"Wave_1362",22.1492371997786
"Wave_1363",21.8419873647723
"Wave_1364",21.5347378988288
"Wave_1365",21.5291325711559
"Wave_1366",21.5989367780112
"Wave_1367",21.6687418670635
"Wave_1368",21.7362379111708
"Wave_1369",21.7829465458308
"Wave_1370",21.8296548638343
"Wave_1371",21.8763635681409
"Wave_1372",21.8963015636382
"Wave_1373",21.853775339941
"Wave_1374",21.8112486215987
"Wave_1375",21.7687238304039
"Wave_1376",21.1509333607415
