"","protein_mg_m2.12.comps"
"Wave_1322",-0.447237220909136
"Wave_1323",-0.469163115653245
"Wave_1324",-0.502680180819079
"Wave_1325",-0.539095203736734
"Wave_1326",-0.575510253800323
"Wave_1327",-0.614258256767474
"Wave_1328",-0.673999040484905
"Wave_1329",-0.733739791612031
"Wave_1330",-0.793480685068732
"Wave_1331",-0.829314189103892
"Wave_1332",-0.811768451548989
"Wave_1333",-0.79422280844591
"Wave_1334",-0.776677002564364
"Wave_1335",-0.7666678801072
"Wave_1336",-0.7616832030762
"Wave_1337",-0.75669818201942
"Wave_1338",-0.7517135199686
"Wave_1339",-0.746549455399831
"Wave_1340",-0.741365116935444
"Wave_1341",-0.736180955696999
"Wave_1342",-0.714784721369443
"Wave_1343",-0.628538695159841
"Wave_1344",-0.542293151050694
"Wave_1345",-0.456047110913421
"Wave_1346",-0.376039673070436
"Wave_1347",-0.305389654610831
"Wave_1348",-0.234739566996923
"Wave_1349",-0.164089417840073
"Wave_1350",-0.0730200767185388
"Wave_1351",0.026800899238852
"Wave_1352",0.126621874648541
"Wave_1353",0.226442736642123
"Wave_1354",0.265822352819313
"Wave_1355",0.305202494561953
"Wave_1356",0.34458211605682
"Wave_1357",0.394287383096639
"Wave_1358",0.485292118040737
"Wave_1359",0.576297254107055
"Wave_1360",0.667302281806318
"Wave_1361",0.729243346265488
"Wave_1362",0.762120357370907
"Wave_1363",0.794997761963262
"Wave_1364",0.827875050729548
"Wave_1365",0.700808394222571
"Wave_1366",0.533756034363542
"Wave_1367",0.366703483099368
"Wave_1368",0.192666041392775
"Wave_1369",-0.0442357625744934
