"","H20_g_m2.11.comps"
"Wave_1163",11.5719208883351
"Wave_1164",12.1383751468795
"Wave_1165",12.7048278576682
"Wave_1166",12.8908402105951
"Wave_1167",12.9595071625077
"Wave_1168",13.0281736183267
"Wave_1169",13.1404267546061
"Wave_1170",12.9563550613153
"Wave_1171",12.7199894420283
"Wave_1172",12.4836221327188
"Wave_1173",12.3725060863734
"Wave_1174",12.568666376222
"Wave_1175",12.7648263485957
"Wave_1176",12.9609875235809
"Wave_1177",12.9705373088725
"Wave_1178",12.7730080811947
"Wave_1179",12.5754808863768
"Wave_1180",12.3779529923256
"Wave_1181",12.3515503739023
"Wave_1182",12.3992878511135
"Wave_1183",12.4470270005857
"Wave_1184",12.4947643532007
"Wave_1185",12.2372897777095
"Wave_1186",12.0291665213098
"Wave_1187",11.8210448342977
"Wave_1188",11.7458308250553
"Wave_1189",11.7136105203895
"Wave_1190",11.6813900070282
"Wave_1191",11.6491691333729
"Wave_1192",11.4932530782277
"Wave_1193",12.2990264241448
"Wave_1194",13.1048013214767
"Wave_1195",13.910575551855
"Wave_1196",14.6626135843623
"Wave_1197",15.0201033300612
"Wave_1198",15.3775904022051
"Wave_1199",15.7350786241324
"Wave_1200",15.9708660179602
"Wave_1201",16.1882648784453
"Wave_1202",16.4056659316206
"Wave_1203",16.5817504295966
"Wave_1204",16.3071888876435
"Wave_1205",16.0238736952187
"Wave_1206",15.7405594486753
"Wave_1207",15.5375848623839
"Wave_1208",15.7253177361579
"Wave_1209",15.9130515429234
"Wave_1210",16.1007833426489
"Wave_1211",16.2969440197904
"Wave_1212",16.2868388838022
"Wave_1213",16.2767353798417
"Wave_1214",16.2666300746311
"Wave_1215",16.0139445648187
"Wave_1216",15.6452879200852
"Wave_1217",15.2766324196277
"Wave_1218",14.9079744751101
"Wave_1219",14.8148502418771
"Wave_1220",14.8014690053043
"Wave_1221",14.7880881526125
"Wave_1222",14.7713586108574
"Wave_1223",14.7252648639809
"Wave_1224",14.6791712854314
"Wave_1225",14.633079243017
"Wave_1226",14.4275384861608
"Wave_1227",13.5997560630886
"Wave_1228",12.7719750640961
"Wave_1229",11.9441939160646
"Wave_1230",11.5790335834205
"Wave_1231",11.4784454713162
"Wave_1232",11.3778549530738
"Wave_1233",11.2772671003092
"Wave_1234",11.514816580113
"Wave_1235",11.8069678073406
"Wave_1236",12.0991181478115
"Wave_1237",12.3997548599231
"Wave_1238",13.2413800154741
"Wave_1239",14.0830066166321
"Wave_1240",14.9246321662507
"Wave_1241",15.4716629106853
"Wave_1242",15.3498986878493
"Wave_1243",15.228132522302
"Wave_1244",15.1063687813143
"Wave_1245",14.7157222721951
"Wave_1246",14.0352790728352
"Wave_1247",13.3548371165275
"Wave_1248",12.6743934760459
"Wave_1249",12.7098371464165
"Wave_1250",12.8848498421465
"Wave_1251",13.0598647764692
"Wave_1252",13.2450358514225
"Wave_1253",13.0493883786262
"Wave_1254",12.8537417584969
"Wave_1255",12.6580928945781
"Wave_1256",12.4433381218611
"Wave_1257",12.1840001347753
"Wave_1258",11.9246624368098
"Wave_1259",11.6653238613629
"Wave_1260",11.3950764723738
"Wave_1261",11.0945745594085
"Wave_1262",10.7940761982586
"Wave_1263",10.4935750956908
"Wave_1264",10.4771880304154
"Wave_1265",10.5318305632897
"Wave_1266",10.5864742214015
"Wave_1267",10.6557943635196
"Wave_1268",10.5224484972402
"Wave_1269",10.3891004119548
"Wave_1270",10.2557543410054
"Wave_1271",10.1448354560375
"Wave_1272",10.206928476778
"Wave_1273",10.2690211602358
"Wave_1274",10.3311143625262
"Wave_1275",10.5204652873885
