"","nitrate_umol_m2.10.comps"
"Wave_1292",-0.434816172108991
"Wave_1293",-0.418487967382034
"Wave_1294",-0.363098315633406
"Wave_1295",-0.297943376469496
"Wave_1296",-0.232788411803711
"Wave_1297",-0.167633499654486
"Wave_1298",-0.15312862829697
"Wave_1299",-0.138623756749311
"Wave_1300",-0.124118881688245
"Wave_1301",-0.11412819896564
"Wave_1302",-0.114670762960779
"Wave_1303",-0.115213248844214
"Wave_1304",-0.115755709322937
"Wave_1305",-0.144427509570271
"Wave_1306",-0.196103962350028
"Wave_1307",-0.247780285458807
"Wave_1308",-0.299456888758581
"Wave_1309",-0.305027051862415
"Wave_1310",-0.299070824350176
"Wave_1311",-0.293114588379626
"Wave_1312",-0.286384049208844
"Wave_1313",-0.321503778222111
"Wave_1314",-0.35662365971492
"Wave_1315",-0.39174331415476
"Wave_1316",-0.417106951706597
"Wave_1317",-0.419705724364814
"Wave_1318",-0.422304564751094
"Wave_1319",-0.424903244954933
"Wave_1320",-0.432817015654332
"Wave_1321",-0.444274108983962
"Wave_1322",-0.455730979352075
"Wave_1323",-0.467188075397301
"Wave_1324",-0.486769471982899
"Wave_1325",-0.508382035007778
"Wave_1326",-0.529994550467292
"Wave_1327",-0.546169334315981
"Wave_1328",-0.513404139359225
"Wave_1329",-0.480638914105089
"Wave_1330",-0.447873732330488
"Wave_1331",-0.43086524657575
"Wave_1332",-0.449635882770504
"Wave_1333",-0.468406487373428
"Wave_1334",-0.487177251362152
"Wave_1335",-0.5104022878236
"Wave_1336",-0.536597223084055
"Wave_1337",-0.562792047269402
"Wave_1338",-0.588986798474072
"Wave_1339",-0.650266233826045
"Wave_1340",-0.715443872420412
"Wave_1341",-0.780621630236574
"Wave_1342",-0.846329035113603
"Wave_1343",-0.91415603135169
"Wave_1344",-0.981982932794908
"Wave_1345",-1.04980989914595
"Wave_1346",-1.10697246519161
"Wave_1347",-1.1481389551865
"Wave_1348",-1.18930503263238
"Wave_1349",-1.23047126046502
"Wave_1350",-1.24021878766853
"Wave_1351",-1.23650112807675
"Wave_1352",-1.23278325835612
"Wave_1353",-1.22906558160397
"Wave_1354",-1.22253048695403
"Wave_1355",-1.21599525635376
"Wave_1356",-1.2094600881852
"Wave_1357",-1.19684116243572
"Wave_1358",-1.15988704146209
"Wave_1359",-1.12293274648426
"Wave_1360",-1.0859785800595
"Wave_1361",-0.998973928019619
"Wave_1362",-0.861918742120682
"Wave_1363",-0.724863479966302
"Wave_1364",-0.587808330656637
"Wave_1365",-0.457511627035085
